i,t,x
1,1,1.0
1,2,1.0
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,1.0
1,8,1.0
1,9,1.0
1,10,1.0
1,11,1.0
1,12,1.0
1,13,1.0
1,14,1.0
1,15,1.0
1,16,1.0
1,17,1.0
1,18,1.0
1,19,1.0
1,20,1.0
1,21,1.0
1,22,1.0
1,23,1.0
1,24,1.0
2,1,1.0
2,2,1.0
2,3,1.0
2,4,1.0
2,5,1.0
2,6,1.0
2,7,1.0
2,8,1.0
2,9,1.0
2,10,1.0
2,11,1.0
2,12,1.0
2,13,1.0
2,14,1.0
2,15,1.0
2,16,1.0
2,17,1.0
2,18,1.0
2,19,1.0
2,20,1.0
2,21,1.0
2,22,1.0
2,23,1.0
2,24,1.0
3,1,1.0
3,2,1.0
3,3,1.0
3,4,1.0
3,5,1.0
3,6,1.0
3,7,1.0
3,8,1.0
3,9,1.0
3,10,1.0
3,11,1.0
3,12,1.0
3,13,1.0
3,14,1.0
3,15,1.0
3,16,1.0
3,17,1.0
3,18,1.0
3,19,1.0
3,20,1.0
3,21,1.0
3,22,1.0
3,23,1.0
3,24,1.0
4,1,1.0
4,2,1.0
4,3,1.0
4,4,1.0
4,5,1.0
4,6,1.0
4,7,1.0
4,8,1.0
4,9,1.0
4,10,1.0
4,11,1.0
4,12,1.0
4,13,1.0
4,14,1.0
4,15,1.0
4,16,1.0
4,17,1.0
4,18,1.0
4,19,1.0
4,20,1.0
4,21,1.0
4,22,1.0
4,23,1.0
4,24,1.0
5,1,1.0
5,2,1.0
5,3,1.0
5,4,1.0
5,5,1.0
5,6,1.0
5,7,1.0
5,8,1.0
5,9,1.0
5,10,-0.0
5,11,-0.0
5,12,-0.0
5,13,-0.0
5,14,-0.0
5,15,-0.0
5,16,-0.0
5,17,-0.0
5,18,1.0
5,19,1.0
5,20,1.0
5,21,1.0
5,22,1.0
5,23,1.0
5,24,1.0
6,1,1.0
6,2,1.0
6,3,1.0
6,4,1.0
6,5,1.0
6,6,1.0
6,7,1.0
6,8,1.0
6,9,1.0
6,10,1.0
6,11,1.0
6,12,1.0
6,13,1.0
6,14,1.0
6,15,1.0
6,16,1.0
6,17,1.0
6,18,1.0
6,19,1.0
6,20,1.0
6,21,1.0
6,22,1.0
6,23,1.0
6,24,1.0
7,1,1.0
7,2,1.0
7,3,1.0
7,4,1.0
7,5,1.0
7,6,1.0
7,7,1.0
7,8,1.0
7,9,-0.0
7,10,-0.0
7,11,-0.0
7,12,-0.0
7,13,-0.0
7,14,-0.0
7,15,-0.0
7,16,-0.0
7,17,-0.0
7,18,1.0
7,19,1.0
7,20,1.0
7,21,1.0
7,22,1.0
7,23,1.0
7,24,1.0
8,1,1.0
8,2,1.0
8,3,1.0
8,4,1.0
8,5,1.0
8,6,1.0
8,7,1.0
8,8,1.0
8,9,-0.0
8,10,-0.0
8,11,-0.0
8,12,-0.0
8,13,-0.0
8,14,-0.0
8,15,-0.0
8,16,-0.0
8,17,-0.0
8,18,1.0
8,19,1.0
8,20,1.0
8,21,1.0
8,22,1.0
8,23,1.0
8,24,1.0
9,1,1.0
9,2,1.0
9,3,1.0
9,4,1.0
9,5,1.0
9,6,1.0
9,7,1.0
9,8,1.0
9,9,-0.0
9,10,-0.0
9,11,-0.0
9,12,-0.0
9,13,-0.0
9,14,-0.0
9,15,-0.0
9,16,-0.0
9,17,-0.0
9,18,-0.0
9,19,-0.0
9,20,1.0
9,21,1.0
9,22,1.0
9,23,1.0
9,24,1.0
10,1,1.0
10,2,1.0
10,3,1.0
10,4,1.0
10,5,1.0
10,6,1.0
10,7,-0.0
10,8,-0.0
10,9,-0.0
10,10,-0.0
10,11,-0.0
10,12,-0.0
10,13,-0.0
10,14,-0.0
10,15,-0.0
10,16,-0.0
10,17,-0.0
10,18,-0.0
10,19,-0.0
10,20,-0.0
10,21,-0.0
10,22,-0.0
10,23,-0.0
10,24,-0.0
11,1,1.0
11,2,1.0
11,3,1.0
11,4,1.0
11,5,1.0
11,6,1.0
11,7,1.0
11,8,1.0
11,9,1.0
11,10,1.0
11,11,1.0
11,12,1.0
11,13,1.0
11,14,1.0
11,15,1.0
11,16,1.0
11,17,1.0
11,18,1.0
11,19,1.0
11,20,1.0
11,21,1.0
11,22,1.0
11,23,1.0
11,24,1.0
12,1,1.0
12,2,1.0
12,3,1.0
12,4,1.0
12,5,1.0
12,6,1.0
12,7,-0.0
12,8,-0.0
12,9,-0.0
12,10,-0.0
12,11,-0.0
12,12,-0.0
12,13,-0.0
12,14,-0.0
12,15,-0.0
12,16,-0.0
12,17,-0.0
12,18,-0.0
12,19,-0.0
12,20,-0.0
12,21,-0.0
12,22,-0.0
12,23,-0.0
12,24,-0.0
13,1,1.0
13,2,1.0
13,3,1.0
13,4,1.0
13,5,1.0
13,6,1.0
13,7,1.0
13,8,1.0
13,9,-0.0
13,10,-0.0
13,11,-0.0
13,12,-0.0
13,13,-0.0
13,14,-0.0
13,15,-0.0
13,16,-0.0
13,17,-0.0
13,18,-0.0
13,19,-0.0
13,20,-0.0
13,21,-0.0
13,22,-0.0
13,23,-0.0
13,24,-0.0
14,1,1.0
14,2,1.0
14,3,1.0
14,4,1.0
14,5,1.0
14,6,1.0
14,7,1.0
14,8,1.0
14,9,-0.0
14,10,-0.0
14,11,-0.0
14,12,-0.0
14,13,-0.0
14,14,-0.0
14,15,-0.0
14,16,-0.0
14,17,-0.0
14,18,-0.0
14,19,-0.0
14,20,-0.0
14,21,-0.0
14,22,-0.0
14,23,-0.0
14,24,-0.0
15,1,-0.0
15,2,-0.0
15,3,-0.0
15,4,-0.0
15,5,-0.0
15,6,0.0
15,7,-0.0
15,8,-0.0
15,9,-0.0
15,10,-0.0
15,11,-0.0
15,12,-0.0
15,13,-0.0
15,14,-0.0
15,15,-0.0
15,16,-0.0
15,17,-0.0
15,18,-0.0
15,19,-0.0
15,20,-0.0
15,21,-0.0
15,22,-0.0
15,23,-0.0
15,24,-0.0
16,1,-0.0
16,2,-0.0
16,3,-0.0
16,4,-0.0
16,5,-0.0
16,6,-0.0
16,7,-0.0
16,8,-0.0
16,9,-0.0
16,10,-0.0
16,11,-0.0
16,12,-0.0
16,13,-0.0
16,14,-0.0
16,15,-0.0
16,16,-0.0
16,17,-0.0
16,18,-0.0
16,19,-0.0
16,20,-0.0
16,21,-0.0
16,22,-0.0
16,23,-0.0
16,24,-0.0
17,1,1.0
17,2,1.0
17,3,1.0
17,4,1.0
17,5,1.0
17,6,-0.0
17,7,-0.0
17,8,-0.0
17,9,-0.0
17,10,-0.0
17,11,-0.0
17,12,-0.0
17,13,-0.0
17,14,-0.0
17,15,-0.0
17,16,-0.0
17,17,-0.0
17,18,-0.0
17,19,-0.0
17,20,-0.0
17,21,-0.0
17,22,-0.0
17,23,-0.0
17,24,-0.0
18,1,-0.0
18,2,-0.0
18,3,-0.0
18,4,-0.0
18,5,-0.0
18,6,-0.0
18,7,-0.0
18,8,-0.0
18,9,-0.0
18,10,-0.0
18,11,-0.0
18,12,-0.0
18,13,-0.0
18,14,-0.0
18,15,-0.0
18,16,-0.0
18,17,-0.0
18,18,-0.0
18,19,-0.0
18,20,-0.0
18,21,-0.0
18,22,-0.0
18,23,-0.0
18,24,-0.0
19,1,1.0
19,2,1.0
19,3,1.0
19,4,1.0
19,5,1.0
19,6,1.0
19,7,1.0
19,8,1.0
19,9,1.0
19,10,1.0
19,11,-0.0
19,12,-0.0
19,13,-0.0
19,14,-0.0
19,15,-0.0
19,16,-0.0
19,17,-0.0
19,18,-0.0
19,19,-0.0
19,20,-0.0
19,21,0.0
19,22,-0.0
19,23,0.0
19,24,0.0
20,1,1.0
20,2,1.0
20,3,1.0
20,4,1.0
20,5,1.0
20,6,1.0
20,7,1.0
20,8,1.0
20,9,0.0
20,10,-0.0
20,11,-0.0
20,12,-0.0
20,13,-0.0
20,14,-0.0
20,15,-0.0
20,16,-0.0
20,17,-0.0
20,18,-0.0
20,19,-0.0
20,20,-0.0
20,21,-0.0
20,22,-0.0
20,23,-0.0
20,24,-0.0
21,1,-0.0
21,2,-0.0
21,3,-0.0
21,4,-0.0
21,5,-0.0
21,6,-0.0
21,7,-0.0
21,8,-0.0
21,9,-0.0
21,10,-0.0
21,11,-0.0
21,12,-0.0
21,13,-0.0
21,14,-0.0
21,15,-0.0
